Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,log_LoanAmount,total_income,log_total_income
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y,5.0238805208462765,6327.0,8.752581469146884
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,175.0,360.0,1.0,Semiurban,Y,5.1647859739235145,8588.0,9.058121158998672
LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158.0,360.0,1.0,Urban,Y,5.062595033026967,6583.0,8.792245847467877
LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,N,5.717027701406222,16783.0,9.72812174830818
LP001543,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y,5.231108616854587,9538.0,9.16303909885817
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N,5.303304908059076,5558.0,8.62299361030245
LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260.0,360.0,1.0,Semiurban,Y,5.560681631015528,10139.0,9.22414465295258
LP002364,Male,Yes,0,Graduate,No,14880,0.0,96.0,360.0,1.0,Semiurban,Y,4.564348191467836,14880.0,9.607773308387083
LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130.0,360.0,1.0,Rural,Y,4.867534450455582,4676.0,8.450198322591959
LP002053,Male,Yes,3+,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,Y,4.820281565605037,4531.0,8.418697944667139
LP001370,Male,No,0,Not Graduate,unknown,7333,0.0,120.0,360.0,1.0,Rural,N,4.787491742782046,7333.0,8.9001399880938
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,5.855071922202427,23809.0,10.077818939438902
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,unknown,Rural,N,5.204006687076795,8649.0,9.065198986306513
LP002950,Male,Yes,0,Not Graduate,unknown,2894,2792.0,155.0,360.0,1.0,Rural,Y,5.043425116919247,5686.0,8.645762292210945
LP002237,Male,No,1,Graduate,unknown,3667,0.0,113.0,180.0,1.0,Urban,Y,4.727387818712341,3667.0,8.207129168071326
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,4.890349128221754,7551.0,8.929435283803425
LP002560,Male,No,0,Not Graduate,No,2699,2785.0,96.0,360.0,unknown,Semiurban,Y,4.564348191467836,5484.0,8.609590040682205
LP001087,Female,No,2,Graduate,unknown,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,4.787491742782046,5833.0,8.671286726753637
LP002055,Female,No,0,Graduate,No,3166,2985.0,132.0,360.0,unknown,Rural,Y,4.882801922586371,6151.0,8.724369949208368
LP001027,Male,Yes,2,Graduate,unknown,2500,1840.0,109.0,360.0,1.0,Urban,Y,4.6913478822291435,4340.0,8.375629627094451
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N,5.41610040220442,11666.0,9.364433907313582
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,unknown,Semiurban,Y,4.844187086458591,6666.0,8.804775258867686
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,4.248495242049359,3900.0,8.268731832117737
LP001996,Male,No,0,Graduate,No,20233,0.0,480.0,360.0,1.0,Rural,N,6.173786103901937,20233.0,9.915070213779195
LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,Y,5.780743515792329,10039.0,9.214232786691527
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,4.394449154672439,5093.0,8.535622326884605
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,5.123963979403259,5417.0,8.597297435657898
LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218.0,360.0,0.0,Rural,N,5.384495062789089,6096.0,8.715388097366482
LP002960,Male,Yes,0,Not Graduate,No,2400,3800.0,128.0,180.0,1.0,Urban,N,4.852030263919617,6200.0,8.732304571033183
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,5.768320995793772,15500.0,9.648595302907339
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,4.7535901911063645,4166.0,8.334711621820917
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,N,4.532599493153256,4734.0,8.46252579007393
LP001693,Female,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,Y,4.382026634673881,3244.0,8.084562415235304
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,Y,4.727387818712341,3095.0,8.037543185118697
LP002435,Male,Yes,0,Graduate,unknown,3539,1376.0,55.0,360.0,1.0,Rural,N,4.007333185232471,4915.0,8.500047032581268
